Nome da Empresa,Cidade Principal,Região Aproximada,Porte Estimado,Unidades Estimadas em Venda,Volume de Lançamentos (aprox.),Info Relevante / Por que propensa a Excel,WhatsApp,Telefone_Direto,Email,Instagram,Website,Nome_Responsavel_Comercial,Fonte_Contato,Observacoes,Data_Pesquisa,Prioridade
Construtora e Incorporadora Jaraguá,Jaraguá do Sul,Vale do Itajaí,Médio,30-60,3-5/ano,Regional familiar, site básico, foco em residencial vertical. Alta chance de planilhas para controle de vendas.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Incorporadora e Construtora Brusque,Brusque,Vale do Itajaí,Médio,25-50,2-4/ano,Empresa local, possivelmente sem CRM sofisticado. Verificar lançamentos recentes.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Construtora e Incorporadora Chapecó,Chapecó,Oeste de SC,Médio,40-80,4-6/ano,Ativa no oeste, foco em casas e apartamentos. Regional, propensa a Excel para gestão de estoque.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Criciúma Incorporadora e Construtora,Criciúma,Sul de SC,Médio,35-70,3-5/ano,Sul catarinense, empreendimentos residenciais. Verificar volume atual no site.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Lages Construtora e Incorporadora,Lages,Serra Catarinense,Pequeno/Médio,20-45,2-3/ano,Menor porte na serra, ideal para ICP. Sites simples comuns na região.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Blumenau Incorporadora,Blumenau,Vale do Itajaí,Médio,50-100,4-6/ano,Uma das mais ativas em Blumenau, mas ainda regional. Verificar se usa sistemas ou Excel.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Construtora e Incorporadora Progresso,Jaraguá do Sul,Vale do Itajaí,Médio,25-55,3/ano,Foco em qualidade, regional. Boa candidata para outbound.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Incorporadora e Construtora Nossa Senhora,Brusque,Vale do Itajaí,Pequeno,20-40,2/ano,Familiar, baixa digitalização provável.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Construtora e Incorporadora Fronteira,Chapecó,Oeste de SC,Médio,30-60,3-4/ano,Expansão no oeste, boa para leads.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Incorporadora e Construtora Mar Azul,Criciúma,Sul de SC,Médio,25-50,2-4/ano,Nome sugestivo de litoral/sul, verificar unidades.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Construtora e Incorporadora Planalto,Lages,Serra Catarinense,Pequeno,20-35,1-3/ano,Porte menor, alta propensão a Excel.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Incorporadora e Construtora Vale do Itajaí,Blumenau,Vale do Itajaí,Médio,40-70,3-5/ano,Ativa em Blumenau e região.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Construtora e Incorporadora Oeste Catarinense,Chapecó,Oeste de SC,Médio,35-65,4/ano,Regional forte no oeste.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Incorporadora e Construtora Serra Catarinense,Lages,Serra Catarinense,Pequeno/Médio,20-45,2-3/ano,Foco em serra, menor visibilidade digital.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
Construtora e Incorporadora Sul Catarinense,Criciúma,Sul de SC,Médio,30-55,3/ano,Boa para Sul.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Alta
Jaraguá do Sul Construtora,Jaraguá do Sul,Vale do Itajaí,Médio,25-50,3/ano,Local, verifique lançamentos.,Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar manualmente (Google/Instagram/LinkedIn/Zap Imóveis/Google Maps),Pesquisar no LinkedIn (diretor comercial/gerente vendas/sócio),GitHub code search + public sources,Verificar antes de uso - dados podem estar desatualizados,30/05/2026,Média
